,Title,Keywords,Topics,High-Level Keyword(s),Abstract
116,Multi-Cycle Query Caching in Agent Programming,agent programming languages bdi agents query caching,"Agent/AI Theories and Architectures
Evaluation and Analysis (Multiagent Systems)
Multiagent Systems (General/other)",Multiagent Systems,"in many logic-based bdi agent programming languages, plan selection involves inferencing over some underlying knowledge representation. while context-sensitive plan selection facilitates the development of flexible, declarative programs, the overhead of evaluating repeated queries to the agent's beliefs and goals can result in poor run time performance. in this paper we present an approach to multi-cycle query caching for logic-based bdi agent programming languages. we extend the abstract performance model presented in (alechina et al 2012) to quantify the costs and benefits of caching query results over multiple deliberation cycles. we also present results of experiments with prototype implementations of both single- and multi-cycle caching in three logic-based bdi agent platforms, which demonstrate that significant performance improvements are achievable in practice."
117,Pruning for Monte Carlo Distributed Reinforcement Learning in Decentralized POMDPs,reinforcement learning decentralized planning multi-agent learning,"Reinforcement Learning
Multiagent Learning
Multiagent Planning","Machine Learning
Multiagent Systems","decentralized partially observable markov decision processes (dec-pomdps) offer a powerful modeling technique for realistic multi-agent coordination problems under uncertainty. prevalent solution techniques are centralized and assume prior knowledge of the model. recently a monte carlo based distributed reinforcement learning approach was proposed, where agents take turns to learn best responses to each other’s policies. this promotes decentralization of the policy computation problem, and relaxes reliance on the full knowledge of the problem parameters. however, this monte carlo approach has a large sample complexity, which we address in this paper. in particular, we propose and analyze a modified version of the previous algorithm that adaptively eliminates parts of the experience tree from further exploration, thus requiring fewer samples while ensuring unchanged confidence in the learned value function. experiments demonstrate significant reduction in sample complexity – the maximum reductions ranging from 61% to 93% over different benchmark dec-pomdp problems – with the final policies being often better due to more focused exploration."
118,Complexity of Inferences in Polytree-shaped Semi-Qualitative Probabilistic Networks,semi-qualitative probabilistic networks hardness of inference in polytrees polynomial-time algorithm,"Computational Complexity of Reasoning
Bayesian Networks
Graphical Models (Other)","Knowledge Representation and Reasoning
Reasoning under Uncertainty","semi-qualitative probabilistic networks (sqpns) merge two important graphical model  formalisms: bayesian networks and qualitative probabilistic networks. they  provide a very general modeling framework by allowing the combination of  numeric and qualitative assessments over a discrete domain, and can be  compactly encoded by exploiting the same factorization of joint probability  distributions that are behind the bayesian networks. this paper explores the  computational complexity of semi-qualitative probabilistic networks, and takes  the polytree-shaped networks as its main target. we show that the inference  problem is conp-complete for binary polytrees with multiple observed nodes. we  also show that inferences can be performed in linear time if there is a  single observed node, which is a relevant practical case. because our proof is  constructive, we obtain an efficient linear time algorithm for sqpns under  such assumptions. to the best of our knowledge, this is the first exact  polynomial-time algorithm for sqpns. together these results provide  a clear picture of the inferential complexity in polytree-shaped sqpns."
119,Generating Natural-Language Video Descriptions Using Text-Mined Knowledge,videos natural language descriptions text mining grounding computer vision,"Machine Learning (General/other)
Natural Language Processing (General/Other)
Vision, Object Recognition, and Perception","Machine Learning
Natural Language Processing
Robotics","we present a holistic data-driven technique that generates natural-language descriptions for videos. we combine the output of state-of-the-art object and activity detectors with “real-world” knowledge to select the most probable subject-verb-object triplet for describing a video. we show that this knowledge, automatically mined from web-scale text corpora, enhances the triplet selection algorithm by providing it contextual information and leads to a four-fold increase in activity identification. unlike previous methods, our approach can annotate arbitrary videos without requiring the expensive collection and annotation of a similar training video corpus. we evaluate our technique against a baseline that does not use text-mined knowledge and show that humans prefer our descriptions to those generated using purely visual detections."
120,Assumption-Based Planning: Generating plans and explanations under incomplete knowledge,planning under incomplete knowledge explanations diagnosis conformant planning contingent planning,"Common-Sense Reasoning
Diagnosis and Abductive Reasoning
Planning (General/Other)","Knowledge Representation and Reasoning
Reasoning about Plans, Processes, and Actions","many practical planning problems necessitate the generation of a plan under incomplete information about the state of the world. in this paper we propose the notion of assumption-based planning. unlike conformant planning, which attempts to find a plan under all possible completions of the initial state, an assumption-based plan supports the assertion of additional assumptions about the state of the world, simplifying the planning problem, and often resulting in high quality plans where no conformant plan exists. we are interested in this paradigm of planning for two reasons: 1) it captures a compelling form of commonsense planning, and 2) it is of great utility in the generation of explanations, diagnoses, and counter-examples -- tasks which share a computational core with planning. we formalize the notion of assumption-based planning, establishing a relationship between assumption-based and conformant planning, and prove properties of such plans. we further provide for the scenario where some assumptions are more preferred than others. exploiting the correspondence with conformant planning, we propose a means of computing assumption-based plans via a translation to classical planning. our translation is an extension of the popular approach proposed by palacios and geffner and realized in their t0 planner. we have implemented our planner, a0, as a variant of t0 and tested it on a number of expository domains drawn from the international planning competition. our results illustrate the utility of this new planning paradigm."
121,Analyzing the effectiveness of adversary modeling in security games,game theory human behavior quantal response bounded rationality subjective utility human experiment,"Evaluation and Analysis (Multiagent Systems)
Human-Computer Interaction
Security and Privacy","Multiagent Systems
Multidisciplinary Topics","recent deployments of stackelberg security games (ssg) have led to two competing approaches to handle boundedly rational human adversaries: (1) integrating models of human (adversary) decision-making into the game-theoretic algorithms, and (2) applying robust optimization techniques that avoid adversary modeling. a recent algorithm (match) based on the second approach was shown to outperform the leading modeling-based algorithm even in the presence of significant amount of data. is there then any value in using human behavior models in solving ssgs? through extensive experiments with 547 human subjects playing 11102 games in total, we emphatically answer the question in the affirmative, while providing the following key contributions: (i) we show that our algorithm, su-brqr, based on a novel integration of human behavior model with the subjective utility function, significantly outperforms both match and its improvements; (ii) we are the first to present experimental results with security intelligence experts, and find that even though the experts are more rational than the amazon turk workers, su-brqr still outperforms an approach assuming perfect rationality (and to a more limited extent match); (iii) we show the advantage of su-brqr in a new, large game setting and demonstrate that sufficient data enables it to improve its performance over match."
122,Hypothesis Exploration for Malware Detection using Planning,planning application reasoning about actions,"Action, Change, and Causality
Diagnosis and Abductive Reasoning
Other Applications
Model-Based Reasoning
Planning (General/Other)","Knowledge Representation and Reasoning
Applications
Reasoning about Plans, Processes, and Actions","in this paper we apply ai planning to address the hypothesis exploration problem and provide assistance to network administrators in detecting malware based on unreliable observations derived from network traffic.building on the already established characterization and use of ai planning for similar problems, we propose a formulation of the hypothesis generation problem for malware detection as an ai planning problem with temporally extended goals and actions costs. furthermore, we propose a notion of hypothesis ``plausibility'' under unreliable observations, which we model as plan quality. we then show that in the presence of unreliable observations, simply finding one most ``plausible'' hypothesis, although challenging, is not sufficient for effective malware detection. to that end, we propose a method for applying a state-of-the-art planner within a principled exploration process, to generate multiple distinct high-quality plans. we experimentally evaluate this approach by generating random problems of varying hardness both with respect to the number of observations, as well as the degree of unreliability. based on these experiments, we argue that our approach presents a significant improvement over prior work that are focused on finding a single optimal plan, and that the hypothesis exploration application can motivate the development of new planners capable of generating the top high-quality plans."
123,Algorithms for strong Nash equilibrium with more than two agents,non-cooperative game theory strong nash equilibrium equilibrium computation,"Game Theory
Multiagent Systems (General/other)",Multiagent Systems,"strong nash equilibrium (sne) is an appealing solution concept when rational agents can form coalitions. a strategy profile is an sne if no coalition of agents can benefit by deviating. an sne must simultaneously be a nash equilibrium (ne) and the optimal solution of multiple non-convex optimization problems. this makes even the derivation of necessary and sufficient equilibrium constraints in a mathematical programming fashion difficult. we show that forcing an sne to be resilient only to pure strategy deviations by coalitions, unlike for nes, is only a necessary condition here. second, we show that the application of karush-kuhn-tucker conditions leads to another set of necessary conditions that are not sufficient. third, we show that forcing the pareto efficiency of an sne for each coalition with respect to coalition correlated strategies is sufficient but not necessary. we then develop a tree search algorithm for sne finding. at each node, it calls an oracle to suggest a candidate sne and then verifies the candidate. we show that our new necessary conditions can be leveraged to make the oracle more powerful. experiments validate the overall approach and show that the new conditions significantly reduce search tree size compared to using ne conditions alone."
124,Decoupling the Multiagent Disjunctive Temporal Problem,temporal decoupling multiagent scheduling disjunctive temporal problem constraint-based scheduling,"Coordination and Collaboration
Distributed Problem Solving
Scheduling
Temporal Planning","Multiagent Systems
Reasoning about Plans, Processes, and Actions","the multiagent disjunctive temporal problem (madtp) is a general constraint-based formulation for scheduling problems that involve interdependent agents. decoupling agents' interdependent scheduling problems, so that each agent can manage its schedule independently, requires agents to adopt more restrictive local constraints that effectively subsume their interdependencies. in this paper, we present the first algorithms for decoupling madtps. our distributed algorithm is provably sound and complete. our experiments demonstrate that the relative efficiency of finding a temporal decoupling improves with the interconnectedness between agents' schedules, leading to orders of magnitude speedup over algorithms that find complete solution spaces for madtps. however, decoupling by its nature restricts agents' local scheduling flexibility; we define novel flexibility metrics for decoupled madtps, and show empirically how the flexibility sacrificed depends on the degree of coupling between agents' schedules."
125,Online Lazy Updates for Portfolio Selection with Transaction Costs,online learning portfolio selection transaction costs convex optimization,"Optimization
Online Learning
Time-Series/Data Streams
Machine Learning (General/other)
Other Applications","Heuristic Search and Optimization
Machine Learning
Applications","with the ever increasing amount of data, particularly from search engines and social networks, stochastic optimization algorithms have become desirable for large-scale machine learning tasks because of their empirical efficiency and strong theoretical guarantees. however, a major challenge that is encountered is the cost of updating model parameters especially when the number of such parameters can be in the order of billions. often times when parameters are updated, their values do not change significantly. as such, the cost of updating each parameter starts to outweigh the benefit. in this paper, we introduce an efficient primal-dual based online algorithm that performs lazy updates to the parameter vectors and show that its performance is competitive with reasonable lazy-strategies which have the benefit of hindsight. we demonstrate the effectiveness of our frugal algorithm in the online portfolio selection domain where a trader has to pay proportional transaction costs every time his portfolio is updated. we show that our online lazy updates (olu) algorithm results in sparse updates of the portfolio vector and is robust to transaction costs with extensive experiments on two real world datasets."
126,Teamwork with Limited Knowledge of Teammates,multiagent teamwork limited knowledge ad hoc teamwork transfer learning,"Transfer, Adaptation, Multitask Learning
Coordination and Collaboration
Multiagent Learning","Machine Learning
Multiagent Systems","while great strides have been made in multiagent teamwork, existing approaches typically assume extensive information exists about teammates and how to coordinate actions. this paper addresses how robust teamwork can still be created even if limited or no information exists about a specific group of teammates, as in the ad hoc teamwork scenario. the main contribution of this paper is the first empirical evaluation of an agent cooperating with teammates not created by the authors, where the agent is not provided expert knowledge of its teammates. for this purpose, we develop a general-purpose teammate modeling method and test the resulting ad hoc team agent's ability to collaborate with more than 40 unknown teams of agents to accomplish a benchmark task. these agents were designed by people other than the authors without these designers planning for the ad hoc teamwork setting. a secondary contribution of the paper is a new transfer learning algorithm, twostagetransfer, that can improve results when the ad hoc team agent does have some limited observations of its current teammates."
127,Greedy or Not?   Local search move selection for MAXSAT,stochastic local search sat empirical analysis,"SAT and CSP: Evaluation and Analysis
SAT and CSP: Solvers and Tools
Evaluation and Analysis (Search and Optimization)","Constraints and Satisfiability
Heuristic Search and Optimization","stochastic local search (sls) is the dominant algorithmic paradigm for incomplete sat and maxsat solvers. early studies on small 3sat instances found that the use of greedy improving moves did not improve search compared to using next improving moves (gent and walsh 1992, 1993). yet several recent algorithms commonly have two modes: a greedy search followed by diversification (tompkins, balint and hoos 2011). we revisit the early results by empirically studying the impact of greediness on sls performance on much larger instances, including both random 3sat and industrial maxsat problems.  current implementations using greedy moves tend to be much less efficient than using next improving moves. we implement an efficient buffering algorithm that makes greedy moves just as efficient as next improving moves.  we compare versions of gsat and adaptg2wsat using next and greedy moves for both finding the first optima and guiding local search during diversification. we find that the first local optima found using greedy moves are statistically significantly better than the first local optima found using next improving moves. however, this advantage reverses after subsequent search; given sufficient search time, solutions are significantly better most of the time when using next improving moves. for larger random as well as industrial maxsat problems, current algorithm design should revisit the use of next improving moves."
128,Learning Integrated Symbolic and Continuous Action Models for Continuous Domains,action modeling combined symbolic/continuous learning inductive logic programming spatial reasoning,"Action, Change, and Causality
Geometric, Spatial, and Temporal Reasoning
Classification
Clustering
Learning Models for Planning and Diagnosis","Knowledge Representation and Reasoning
Machine Learning
Reasoning about Plans, Processes, and Actions","long-living autonomous agents must be able to learn to perform competently in novel environments. one important aspect of competence is the ability to plan, which entails the ability to learn models of the agent’s own actions and their effects on the environment. in this paper we describe an approach to learn action models of environments with continuous-valued spatial states and realistic physics consisting of multiple interacting rigid objects. in such environments, we hypothesize that objects exhibit multiple qualitatively distinct behaviors we call modes, conditioned on their spatial relationships to each other. we argue that action models that explicitly represent these modes using a combination of symbolic spatial relationships and continuous metric information learn faster, generalize better, and make more accurate predictions than models that use only metric information. we present a method to learn action models with piecewise linear modes conditioned on a combination of first-order horn clauses composed of symbolic spatial predicates and continuous classifiers. we empirically demonstrate with lesion studies in a physics simulation that our method learns more accurate and more general models than a method that learns a single smooth function (locally weighted regression) and a method that learns piecewise smooth functions not conditioned on spatial predicates."
129,Truncated LPA* : Faster Replanning by Exploiting Suboptimality,heuristic search path planning incremental search,"Heuristic Search
Replanning and Plan Repair
Motion and Path Planning","Heuristic Search and Optimization
Reasoning about Plans, Processes, and Actions
Robotics","incremental heuristic searches try to reuse their previous search efforts whenever these are available. as a result, they can often solve a sequence of similar planning problems much faster than planning from scratch. state-of-the-art incremental heuristic searches such as lpa*, d* and d* lite all work by propagating cost changes to all the states on the search tree whose g-values (the costs of computed paths from the start) are no longer optimal. while such a complete propagation of cost changes is required to ensure optimality, the propagations can be stopped much earlier if we are looking for solutions within a given suboptimality bound. we develop an algorithm called truncated lpa* (tlpa*), that builds on this observation, and uses a target suboptimality bound to efficiently restrict the cost propagations. we explain tlpa*, discuss its analytical properties and present experimental results for 2d and 3d (x, y, heading) path planning that show significant improvement in runtime over existing incremental heuristic searches when searching for close-to-optimal solutions. in addition, unlike typical incremental searches, tlpa* is much less dependent on the proximity of the cost changes to the goal of the search due to the early termination of the cost change propagation."
130,Effective Bilingual Constraints for Semi-supervised Learning of Named Entity Recognizers,gibbs sampling for factored models bilingual constraints for ner semi-supervised learning,Information Extraction,Natural Language Processing,"most semi-supervised methods in natural language processing capitalize on unannotated resources in a single language; however, information can be gained from using parallel resources in more than one language, since translations of the same utterance in different languages can help to disambiguate each other. we demonstrate a method that makes effective use of vast amounts of bilingual text (a.k.a. bitext) to improve monolingual systems. we propose a factored probabilistic sequence model that encourages both crosslanguage and intra-document consistency. a simple gibbs sampling algorithm is introduced for performing approximate inference. experiments on english-chinese named entity recognition (ner) using the ontonotes dataset demonstrate that our method is significantly more accurate than state-of-the-art monolingual crf models in a bilingual test setting. our model also improves on previous work by burkett et al. (2010), achieving a relative error reduction of 10.8% and 4.5% in chinese and english, respectively. furthermore, by annotating a moderate amount of unlabeled bi-text with our bilingual model, and using the tagged data for uptraining, we achieve a 9.2% error reduction in chinese over the state-of-the-art stanford monolingual ner system."
131,A General Formal Framework for Pathfinding Problems with Multiple Agents using Answer Set Programming,knowledge representation answer set programming pathfinding,"Logic Programming
Nonmonotonic Reasoning
Multi-Robot Systems","Knowledge Representation and Reasoning
Robotics","pathfinding for a single agent is the problem of planning a route from an initial location to a goal location in an environment, going around obstacles. pathfinding for multiple agents also aims to plan such routes for each agent, subject to different constraints, such as restrictions on the length of each path or on the total length of paths, no self-intersecting paths, no intersection of paths/plans, no crossing/meeting each other, etc. it also has variations for finding optimal solutions with respect to the maximum path length, the sum of plan lengths, etc. these problems are important for many real-life applications, such as motion planning, vehicle routing, environmental monitoring, patrolling, computer games, etc. motivated by such applications, we introduce a formal framework that is general enough to solve all these problems: we use the expressive high-level representation formalism and efficient solvers of the declarative programming paradigm answer set programming. we also introduce heuristics to improve the computational efficiency and/or solution quality. we show the applicability and usefulness of our framework by experiments, with randomly generated problem instances on a grid, on a real-world road network, and on a real computer game terrain."
132,Multiagent Learning with a Noisy Global Reward Signal,multiagent coordination reinforcement learning reward shaping congestion problems scaling air traffic control function approximation neural networks,"Reinforcement Learning
Coordination and Collaboration
Multiagent Learning","Machine Learning
Multiagent Systems","scaling multiagent reinforcement learning to domains with many agents is a complex problem. in particular, multiagent credit assignment becomes a key issue as the system size increases. some multiagent systems suffer from a global reward signal that is very noisy or difficult to analyze. this makes deriving a learnable local reward signal very difficult. difference rewards (a particular instance of reward shaping) have been used to alleviate this concern, but they remain difficult to compute in many domains. in this paper we present an approach to modeling the global reward using function approximation that allows the quick computation of local rewards. we demonstrate how this model can result in significant improvements in behavior for three congestion problems: a multiagent ``bar problem'', a complex simulation of the united states airspace, and a generic air traffic domain. we show how the model of the global reward may be either learned on- or off-line using either linear functions or neural networks. for the bar problem, we show an increase in reward of nearly 200% over learning using the global reward directly. for the air traffic problem, we show a decrease in costs of 25% over learning using the global reward directly."
133,Modelling and Control of Mixed Observability Multiagent Systems,predictive states mixed observability model learning reinforcement learning,"Reinforcement Learning
Multiagent Learning","Machine Learning
Multiagent Systems","learning accurate models of agent behaviours is crucial for the purpose of controlling multiagent systems where the agent and environment dynamics are unknown. many multiagent systems exhibit mixed observability, where the multiple interacting agents are heterogenous - observations of some of the agents are essentially perfect and noiseless, while observations of other agents are imperfect, aliased or noisy. predictive state representations are well-suited to model learning but had hitherto not been adapted to such systems. we present a new model learning framework, the mixed observability predictive state representation (mo-psr), which exploits structural properties present in mixed observability multiagent systems to learn models that allow more efficient planning and control. we present a learning algorithm that is scalable to large amounts of data and to large mixed observability domains, and show theoretical analysis of the learning consistency and computational complexity. empirical results demonstrate that our algorithm is capable of learning accurate models, at a larger scale than with the generic predictive state representation, by leveraging the mixed observability properties."
134,Resolution and Parallelizability: Barriers to the Efficient Parallelization of SAT Solvers,resolution satisfiability parallel sat clause learning proof complexity,"SAT and CSP: Evaluation and Analysis
SAT and CSP: Solvers and Tools
Satisfiability (General/Other)",Constraints and Satisfiability,"recent attempts to create versions of satisfiability (sat) solvers that exploit parallel hardware have met with limited success. in fact, the most successful parallel solvers in recent competitions were based on portfolio approaches with little to no exchange of information between processors. this experience contradicts the apparent parallelizability of exploring a combinatorial search space. we present evidence that this discrepancy can be explained by studying sat solvers as resolution refutation engines. starting with the observation that a recently studied measure of resolution proofs, namely depth, provides a (weak) upper bound to the best possible speedup achievable by such solvers, we empirically show the existence of bottlenecks to parallelizability that refutations typically generated by sat solvers exhibit. further, we propose a new measure that explicitly accounts for a bounded number of parallel processors and empirically correlates with parallel speedups observed in practice. our findings suggest that efficient parallelization of such solvers is not simply a matter of finding the right clause sharing heuristics, it is also hindered by the structure of the refutations these solvers produce."
135,Ties Matter: Complexity of Manipulation when Tie-breaking with a Random Vote,social choice voting manipulation computational complexity,Social Choice / Voting,Multiagent Systems,"we study the impact on strategic voting of tie-breaking by means of considering the order of tied candidates within a random vote. we compare this to another non-deterministic tie-breaking rule where we simply choose between candidates uniformly at random. in general, we demonstrate that there is no connection between the computational complexity of computing a manipulating vote with the two different types of tie-breaking. however, we prove that for some scoring rules, the computational complexity of computing a manipulation can increase from polynomial to np-hard. we also discuss the relationship with the computational complexity of computing a manipulating vote when we ask for an unique winner, or when we select from the set of co-winners."
136,Solving security games on graphs via marginal probabilities,computational game theory stackelberg games security games,"Optimization
Game Theory","Heuristic Search and Optimization
Multiagent Systems","security games involving the allocation of multiple security resources to defend multiple targets generally have an exponential number of pure strategies for the defender. one method that has been successful in addressing this computational issue is to instead directly compute the marginal probabilities with which the individual resources are assigned (first pursued by kiekintveld et al. (2009)). however, in sufficiently general settings, there exist games where these marginal solutions are not implementable, that is, they do not correspond to any mixed strategy of the defender. in this paper, we examine security games on graphs and show how the type of graph, the type of schedules, and the type of defender resources affect the applicability of this approach. in some settings, we show the approach is applicable and give a polynomial-time algorithm for computing an optimal defender strategy; in other settings, we give counterexample games that demonstrate that the approach does not work, and prove np-hardness results for computing an optimal defender strategy."
137,Sample Complexity and Performance Bounds for Non-parametric Approximate Linear Programming,mdp alp reinforcement learning,Reinforcement Learning,Machine Learning,"one of the most difficult tasks in value function approximation for markov decision processes is finding an approximation architecture that is expressive enough to capture the important structure in the value function, while at the same time not overfitting the training samples. recent results in non-parametric approximate linear programming (np-alp), have demonstrated that this can be done effectively using nothing more than a smoothness assumption on the value function. in this paper we extend these results to the case where samples come from real world transitions instead of the full bellman equation, adding robustness to noise. in addition, we provide the first max-norm, finite sample performance guarantees for any form of alp. np-alp is amenable to problems with large (multidimensional) or even infinite (continuous) action spaces, and does not require a model to select actions using the resulting approximate solution."
138,PAC Optimal Exploration in Continuous Space Markov Decision Processes,mdps pac-optimal exploration reinforcement learning,Reinforcement Learning,Machine Learning,"current exploration algorithms can be classified in two broad categories: heuristic, and pac optimal. while numerous researchers have used heuristic approaches such as $\epsilon$-greedy exploration successfully, such approaches lack formal, finite sample guarantees and may need a significant amount of fine-tuning to produce good results. pac optimal exploration algorithms, on the other hand, offer strong theoretical guarantees but are inapplicable in domains of realistic size. the goal of this paper is to bridge the gap between theory and practice, by introducing c-pace, an algorithm which offers strong theoretical guarantees and can be applied to interesting, continuous state problems."
139,A Fast Pairwise Heuristic for Planning under Uncertainty,planning under uncertainty decision making markov decision process pomdp,"Planning (General/Other)
Uncertainty in AI (General/Other)","Reasoning about Plans, Processes, and Actions
Reasoning under Uncertainty","pomdp (partially observable markov decision process) is a mathematical framework that models planning under uncertainty. solving a pomdp is an intractable problem and even the state of the art pomdp solvers are too computationally expensive for large domains. this is a major bottleneck. in this paper, we propose a new heuristic, called the pairwise heuristic, that can be used in a one-step greedy strategy to find a near optimal solution for pomdp problems very quickly. this approach is a good candidate for large problems where real-time solution is a necessity but exact optimality of the solution is not vital. the pairwise heuristic uses the optimal solutions for pairs of states. for each pair of states in the pomdp, we find the optimal sequence of actions to resolve the uncertainty and to maximize the reward, given that the agent is uncertain about which state of the pair it is in. then we use these sequences as a heuristic and find the optimal action in each step of the greedy strategy using this heuristic. we have tested our method on the available large classical test benchmarks in various domains. the resulting total reward is close to, if not greater than, the total reward obtained by other state of the art pomdp solvers, while the time required to find the solution is always much less."
140,Sensitivity of diffusion dynamics to network uncertainty,diffusion on graphs independent cascades model linear threshold model network sampling network perturbation submodularity,"Agent-based Simulation and Emergent Behavior
Computational Social Science
Social Networks","Multiagent Systems
Applications","simple diffusion processes on networks have been used to model, analyze and predict diverse phenomena such as spread of diseases, information, memes, etc. more often than not, the underlying network data is noisy and sampled. this prompts the following natural question: how sensitive are the diffusion dynamics and subsequent conclusions to uncertainty in the network?  in this paper, we consider two popular diffusion models: independent cascades (ic) model and linear threshold (lt) model. we study how the expected number of vertices that are influenced/infected, given some initial conditions, are affected by network perturbation. by rigorous analysis under the assumption of a reasonable perturbation model we establish the following main results: (1) for the ic model, we characterize the susceptibility to network perturbation in terms of the critical probability for phase transition of the network. we find the expected number of infections is quite stable, unless the the transmission probability is close to the critical probability. (2) we show that the standard lt model with uniform edge weights is relatively stable under network perturbations. (3) empirically, the transient behavior, i.e., the time series of the number of infections, in both models appears to be more sensitive to network perturbations. we also study these questions using extensive simulations on diverse real world networks, and find that our theoretical predictions for both models match the empirical observations quite closely."
141,Automatic Identification of Conceptual Metaphors With Limited Knowledge,conceptual metaphor cognitive linguistics natural language processing metaphor perception,"Unsupervised Learning (Other)
Natural Language Processing (General/Other)","Machine Learning
Natural Language Processing","complete natural language understanding requires identifying and analyzing the meanings of metaphors, which are ubiquitous in text and speech. underlying metaphors in language are conceptual metaphors, partial semantic mappings between disparate conceptual domains. though positive results have been achieved in identifying linguistic metaphors over the last decade, little work has been done to date on automatically identifying conceptual metaphors. this paper describes research on identifying conceptual metaphors based on corpus data. our method uses as little background knowledge as possible, to ease transfer to new languages and to minimize any bias introduced by the knowledge base construction process. the method relies on general heuristics for identifying linguistic metaphors and statistical clustering (guided by wordnet) to form conceptual metaphor candidates. human experiments show the system effectively finds meaningful conceptual metaphors."
142,Model-Lite Case-Based Planning,model-lite planning case-based planning planning incomplete models,"Case-Based Reasoning
Deterministic Planning
Planning (General/Other)","Machine Learning
Reasoning about Plans, Processes, and Actions","there is increasing awareness in the planning community that depending on complete models impedes the applicability of planning technology in many real world domains where the burden of specifying complete domain models is too high. in this paper, we consider a novel solution for this challenge that combines generative planning on incomplete domain models with a library of plan cases that are known to be correct. while this was arguably the original motivation for case-based planning, most existing case-based planners assume (and depend on) from-scratch planners that work on complete domain models. in contrast, our approach views the plan generated with respect to the incomplete model as a skeletal plan and augments it with directed mining of plan fragments from library cases. we will present the details of our approach and present an empirical evaluation of our method in comparison to a state-of-the-art case-based planner that depends on complete domain models."
143,Scalable Lifelong Learning with Active Task Selection,lifelong learning multi-task learning active learning curriculum selection,"Active Learning
Transfer, Adaptation, Multitask Learning",Machine Learning,"in a lifelong learning framework, an agent acquires knowledge incrementally over consecutive learning tasks, continually building upon its experience. recent lifelong learning algorithms have achieved nearly identical performance to batch multi-task learning methods while requiring over three orders of magnitude less time to learn. in this paper, we further improve the scalability of lifelong learning by developing curriculum selection methods that enable an agent to actively select the next task to learn in order to maximize performance on future learning tasks. we demonstrate that active task selection is highly reliable and effective, allowing an agent to learn high performance models using up to 50% fewer tasks than when the agent has no control over the task order. we also explore a variant of transfer learning in the lifelong learning setting in which the agent can focus knowledge acquisition toward a particular target task, enabling the agent to quickly learn the target task."
144,Continuous Conditional Random Fields for Efficient Regression in Large Fully Connected Graphs,structured regression conditional random fields approximate learning approximate inference fully connected graphs,"Big Data / Scalability
Graphical Model Learning
Structured Prediction",Machine Learning,"when used for structured regression, powerful conditional random fields (crfs) are typically restricted to modeling effects of interactions among examples in local neighborhoods. using more expressive representation would result in dense graphs, making these methods impractical for large-scale applications. to address this issue, we propose an effective crf model with linear scale-up properties regarding approximate learning and inference for structured regression on large, fully connected graphs. the proposed method is validated on real-world large-scale problems of image de-noising and remote sensing. in conducted experiments, we demonstrated that dense connectivity provides an improvement in prediction accuracy. inference time of less than a second on graphs with billions of edges makes the proposed model an attractive tool for large-scale, structured regression problems."
145,Probabilistic Sense Sentiment Similarity through Hidden Emotions,sentiment similarity indirect yse/no question answer pairs sentiment orientation prediction,"Information Extraction
Question Answering
Natural Language Processing (General/Other)",Natural Language Processing,"sentiment similarity of word pairs reflects the distance between the words regarding their underlying sentiments. this paper intends to infer the sentiment similarity between word pairs with respect to their senses. to achieve this aim, we propose a probabilistic emotion-based approach that is built on a hidden emotional model in which the basic human emotions are considered as hidden. this leads to predict a vector of basic emotions for each sense of the words. the emotional vectors are employed to infer the sentiment similarity of word pairs. we apply the proposed sentiment similarity approach to address two main natural language processing tasks, namely, indirect yes/no question answer pairs (iqaps) inference and sentiment orientation (so) prediction. extensive experiments demonstrate that the proposed approach can effectively capture the sentiment similarity of word pairs and significantly outperforms semantic similarity measures on the above tasks."
146,Strategic Behavior when Allocating Indivisible Goods Sequentially,fair division elicition free protocol backward induction indivisible goods game theory,"Game Theory
Mechanism Design",Multiagent Systems,"we study a simple sequential allocation mechanism for allocating indivisible goods between agents where agents take turns to pick items. we focus on computational aspects of agents behaving strategically. we view the allocation procedure as a ﬁnite repeated game with perfect information. we show that with just two agents, we can compute the unique subgame perfect nash equilibrium in linear time. with more agents, computing one or all of the subgame perfect nash equilibria is more difﬁcult. there can be an exponential number of equilibria and computing even one of them is pspace-hard in general. we identify a special case, when agents value many of the items identically, where we can efﬁciently compute the subgame perfect nash equilibria. we also consider the effect of externalities and modiﬁcations to the mechanism that make it strategy proof."
147,A Pattern Matching Based Graphical Model for Question Subjectivity Prediction,opinion question subjectivity detection opinion question detection,Natural Language Processing (General/Other),Natural Language Processing,"this paper presents the results of developing subjectivity classifiers using only unannotated data for training. we focus on implicit opinion question (ioq) identification where ioqs are defined as the opinion questions that do not contain any opinion words (such as best, amazing, etc). an ioq example is will the u.s. government pay more attention to the pacific rim? our analysis on community qa (cqa) questions shows that a large proportion of cqa opinion questions are ioqs. it is thus important to develop techniques to identify such questions. in this research, we first propose an effective method based on mutual information and sequential pattern mining to construct an opinion lexicon that not only contains cqa opinion words but also patterns. the discovered words or patterns are then combined with a machine learning technique to identify opinion questions. the experimental results on two datasets demonstrate the effectiveness of our approach."
